timestamp,sensor_name,x,y,z
2025-03-16T03:56:54.173508,LSM6DS3,-87.4,191.71,-97.6
2025-03-16T03:56:59.115105,LSM6DS3,-0.98,-7.39,3.42
2025-03-16T03:57:04.234765,LSM6DS3,10.25,21.55,8.48
2025-03-16T03:57:09.180858,LSM6DS3,0.37,1.53,-0.43
2025-03-16T03:57:14.264043,LSM6DS3,1.04,1.77,1.4
2025-03-16T03:57:19.270927,LSM6DS3,1.46,5.19,1.65
2025-03-16T03:57:24.194221,LSM6DS3,0.49,-5.0,-0.92
2025-03-16T03:57:29.229444,LSM6DS3,3.3,13.67,-3.3
2025-03-16T03:57:34.243478,LSM6DS3,7.32,-4.46,7.08
2025-03-16T03:57:39.262508,LSM6DS3,3.36,-0.67,1.16
2025-03-16T03:57:44.299498,LSM6DS3,1.89,0.31,0.0
2025-03-16T03:57:49.299112,LSM6DS3,-0.55,-2.87,1.28
2025-03-16T03:57:54.510087,LSM6DS3,0.85,-0.12,2.32
2025-03-16T03:57:59.326811,LSM6DS3,-0.55,-2.38,2.69
2025-03-16T03:58:04.319499,LSM6DS3,2.5,-0.24,-3.6
2025-03-16T03:58:09.458872,LSM6DS3,-2.14,-0.61,4.88
2025-03-16T03:58:14.355065,LSM6DS3,-1.4,0.73,4.03
2025-03-16T03:58:19.382028,LSM6DS3,0.12,1.1,0.85
2025-03-16T03:58:24.341065,LSM6DS3,2.56,-0.61,2.62
2025-03-16T03:58:29.353416,LSM6DS3,-4.33,-8.42,2.93
2025-03-16T03:58:34.342488,LSM6DS3,-0.67,-9.46,5.49
2025-03-16T03:58:39.506068,LSM6DS3,1.04,3.17,0.06
2025-03-16T03:58:44.484309,LSM6DS3,1.83,1.95,-0.24
2025-03-16T03:58:49.502633,LSM6DS3,2.2,2.08,-0.67
2025-03-16T03:58:54.417544,LSM6DS3,3.11,-9.58,-5.86
2025-03-16T03:58:59.534920,LSM6DS3,-1.22,2.56,0.79
2025-03-16T03:59:04.464493,LSM6DS3,-3.17,7.69,-32.71
2025-03-16T03:59:09.530531,LSM6DS3,2.69,-4.88,3.42
2025-03-16T03:59:14.497739,LSM6DS3,1.16,-0.18,-1.53
2025-03-16T03:59:19.515819,LSM6DS3,-1.22,2.14,-3.3
2025-03-16T03:59:24.517685,LSM6DS3,1.59,3.17,-1.89
2025-03-16T03:59:29.545821,LSM6DS3,0.55,-0.73,-1.77
2025-03-16T03:59:34.658292,LSM6DS3,-2.81,1.77,-1.22
2025-03-16T03:59:39.554055,LSM6DS3,-0.73,0.43,-7.63
2025-03-16T03:59:44.553354,LSM6DS3,3.91,-1.04,-2.5
2025-03-16T03:59:49.720955,LSM6DS3,6.1,-5.49,-1.16
2025-03-16T03:59:54.633341,LSM6DS3,2.56,-0.24,0.85
2025-03-16T03:59:59.586575,LSM6DS3,1.89,-6.41,2.56
2025-03-16T04:00:04.582720,LSM6DS3,1.71,-2.38,2.69
2025-03-16T04:00:09.633339,LSM6DS3,-20.75,1.89,-17.94
2025-03-16T04:00:14.694588,LSM6DS3,-0.37,3.78,0.43
2025-03-16T04:00:19.723583,LSM6DS3,0.85,1.46,0.12
2025-03-16T04:00:24.730067,LSM6DS3,0.43,1.16,0.79
2025-03-16T04:00:29.680705,LSM6DS3,10.38,0.79,9.83
2025-03-16T04:00:34.784346,LSM6DS3,-3.6,5.25,-5.37
2025-03-16T04:00:39.713661,LSM6DS3,7.93,8.06,29.48
2025-03-16T04:00:44.809297,LSM6DS3,248.11,-186.16,-6.9
2025-03-16T04:00:49.834210,LSM6DS3,24.29,27.28,5.0
2025-03-16T04:00:54.744582,LSM6DS3,23.56,2.08,12.27
2025-03-16T04:00:59.791057,LSM6DS3,0.73,0.12,0.98
2025-03-16T04:01:04.753170,LSM6DS3,0.37,-0.18,-1.16
2025-03-16T04:01:09.817102,LSM6DS3,0.43,-0.18,2.14
2025-03-16T04:01:14.807124,LSM6DS3,0.67,-0.06,2.81
2025-03-16T04:01:19.818501,LSM6DS3,0.37,0.92,0.06
2025-03-16T04:01:24.855565,LSM6DS3,-2.75,-0.61,0.92
2025-03-16T04:01:29.871909,LSM6DS3,0.37,0.37,3.3
2025-03-16T04:01:34.995893,LSM6DS3,1.04,1.04,0.43
2025-03-16T04:01:39.874524,LSM6DS3,0.61,0.79,0.67
2025-03-16T04:01:44.918397,LSM6DS3,0.67,-0.55,1.89
2025-03-16T04:01:49.934590,LSM6DS3,0.98,0.37,-0.43
2025-03-16T04:01:54.953260,LSM6DS3,1.1,0.55,-0.55
2025-03-16T04:01:59.963309,LSM6DS3,0.31,0.98,-2.5
2025-03-16T04:02:04.990024,LSM6DS3,0.61,-0.37,-0.37
2025-03-16T04:02:10.007918,LSM6DS3,5.68,3.48,1.1
2025-03-16T04:02:14.935913,LSM6DS3,1.04,0.55,-0.67
2025-03-16T04:02:19.979116,LSM6DS3,1.59,1.28,-1.89
2025-03-16T04:02:25.058505,LSM6DS3,-31.74,46.14,28.99
2025-03-16T04:02:30.079714,LSM6DS3,-12.15,14.1,-12.94
2025-03-16T04:02:35.027296,LSM6DS3,-2.81,-1.1,0.24
2025-03-16T04:02:40.015173,LSM6DS3,-0.49,-1.89,0.0
2025-03-16T04:02:45.127119,LSM6DS3,1.04,2.14,-0.55
2025-03-16T04:02:50.039359,LSM6DS3,0.55,-0.55,1.34
2025-03-16T04:02:55.168106,LSM6DS3,0.73,0.73,0.49
2025-03-16T04:03:00.185148,LSM6DS3,0.98,2.32,-0.24
2025-03-16T04:03:05.204590,LSM6DS3,7.02,-6.04,5.31
2025-03-16T04:03:10.226809,LSM6DS3,0.43,-3.66,-2.01
2025-03-16T04:03:15.134797,LSM6DS3,-0.85,-2.01,-3.66
2025-03-16T04:03:20.095246,LSM6DS3,0.12,-0.61,1.53
2025-03-16T04:03:25.167111,LSM6DS3,0.31,1.34,0.67
2025-03-16T04:03:30.186001,LSM6DS3,0.12,0.43,1.65
2025-03-16T04:03:35.165072,LSM6DS3,1.1,-4.21,-4.03
2025-03-16T04:03:40.221930,LSM6DS3,0.55,0.43,0.79
2025-03-16T04:03:45.238163,LSM6DS3,0.79,1.28,1.34
2025-03-16T04:03:50.262748,LSM6DS3,-0.85,-1.22,-0.55
2025-03-16T04:03:55.259210,LSM6DS3,2.01,1.59,-1.53
2025-03-16T04:04:00.285661,LSM6DS3,-0.12,-0.98,0.0
2025-03-16T04:04:05.214302,LSM6DS3,-131.71,91.8,-323.18
2025-03-16T04:04:10.321164,LSM6DS3,-0.92,-0.43,-4.09
2025-03-16T04:04:15.262981,LSM6DS3,0.98,0.37,0.79
2025-03-16T04:04:20.267404,LSM6DS3,0.43,0.24,0.55
2025-03-16T04:04:25.376984,LSM6DS3,-1.1,-0.24,-0.55
2025-03-16T04:04:30.310201,LSM6DS3,0.0,0.12,0.61
2025-03-16T04:04:35.310369,LSM6DS3,57.07,13.61,160.16
2025-03-16T04:04:40.358012,LSM6DS3,3.11,3.6,0.55
2025-03-16T04:04:45.301867,LSM6DS3,-3.48,-7.75,0.85
2025-03-16T04:04:50.363157,LSM6DS3,1.16,1.95,0.06
2025-03-16T04:04:55.381350,LSM6DS3,0.98,0.55,0.43
2025-03-16T04:05:00.405678,LSM6DS3,1.89,-0.67,0.55
