sensor_name,timestamp,x,y,z
LSM6DS3,2687899,0.49,0.18,0.43
LSM6DS3,2692906,0.55,0.24,0.37
LSM6DS3,2697912,0.67,0.24,0.43
LSM6DS3,2702919,0.55,0.12,0.49
LSM6DS3,2707926,0.55,0.24,0.43
LSM6DS3,2712933,0.55,0.24,0.37
LSM6DS3,2717939,0.49,0.24,0.43
LSM6DS3,2722946,0.61,0.24,0.43
LSM6DS3,2727952,0.43,0.18,0.37
LSM6DS3,2732959,0.49,0.18,0.37
LSM6DS3,2737965,1.34,-2.5,3.72
LSM6DS3,2742972,0.85,0.55,-0.49
LSM6DS3,2747978,1.89,-3.42,-3.72
LSM6DS3,2752985,0.49,0.24,0.49
LSM6DS3,2757992,0.43,0.24,0.55
LSM6DS3,2762998,0.61,0.24,0.43
LSM6DS3,2768005,0.55,0.18,0.43
LSM6DS3,2773012,0.67,0.18,0.37
LSM6DS3,2778018,0.85,0.18,0.31
LSM6DS3,2783025,0.49,0.24,0.43
LSM6DS3,2788031,0.43,0.18,0.24
LSM6DS3,2793038,0.49,0.24,0.43
LSM6DS3,2798044,0.55,0.18,0.37
LSM6DS3,2803051,0.49,0.24,0.37
LSM6DS3,2808058,0.73,0.18,0.31
LSM6DS3,2813064,0.67,0.12,0.24
LSM6DS3,2818071,0.24,-0.55,-0.43
