Time(ms),X,Y,Z
71312,0.43,-0.37,-0.12
71415,-3.42,-2.75,-1.22
71518,4.15,2.26,2.32
71620,-0.49,-0.18,-0.12
71723,-0.92,0.73,0.43
71826,0.67,0.24,0.18
71928,0.18,0.24,0.49
72031,-0.61,-0.55,0.67
72134,-0.73,0.18,0.73
72236,1.10,0.24,0.43
72339,1.34,-0.37,0.43
72441,0.92,0.18,0.24
72544,0.49,0.24,0.37
72646,0.73,0.31,0.43
72749,0.55,0.61,0.37
72851,0.61,0.43,0.37
72954,0.43,0.00,0.31
73056,0.43,-0.24,0.31
73159,0.55,-0.06,0.43
73262,0.67,-0.12,0.31
73364,0.37,0.12,0.37
73467,0.55,0.31,0.37
73570,0.73,0.37,-0.37
73673,0.79,0.43,0.61
73775,0.55,0.37,0.43
73878,0.31,0.43,0.37
73981,0.61,0.00,0.43
74083,0.43,0.18,0.31
74186,0.55,0.55,0.31
74288,0.67,0.24,0.43
74391,0.24,0.43,0.24
74493,0.67,0.73,0.43
74596,0.43,0.43,0.31
74698,0.55,0.31,0.37
74801,0.43,0.12,0.31
74904,0.61,0.31,0.37
75006,0.49,0.24,0.31
75109,0.61,0.24,0.37
75212,0.55,0.18,0.43
75315,0.49,0.37,0.37
75418,0.49,-0.18,0.43
75520,0.55,0.55,0.37
75623,0.49,0.31,0.43
75726,0.61,0.31,0.49
75828,0.67,0.12,0.49
75931,0.55,0.31,0.37
76033,0.55,0.24,0.43
76135,0.67,-0.06,0.43
76237,0.49,0.37,0.37
76340,0.43,0.49,0.37
76442,0.49,0.24,0.37
76545,0.55,0.24,0.43
76648,0.61,0.12,0.43
76750,0.61,0.49,0.43
76853,0.73,0.18,0.43
76955,0.73,-0.18,0.43
77058,0.43,0.49,0.24
77160,0.43,0.12,0.37
77264,0.43,0.12,0.37
77367,0.37,0.67,0.24
77469,0.55,0.00,0.43
77572,0.06,0.24,0.06
77674,0.55,0.43,0.31
77777,0.79,0.12,0.67
77879,0.73,0.06,0.37
77982,0.49,0.31,0.37
78085,0.31,0.55,0.49
78188,0.67,0.00,0.31
78291,0.98,-0.06,0.55
78394,1.28,0.31,0.73
78496,0.49,0.31,0.18
78599,0.67,-0.24,0.61
78702,0.67,1.22,0.31
78804,0.55,0.24,0.49
78907,0.37,0.24,0.37
79009,0.98,-0.06,0.43
79112,0.85,0.12,0.43
79215,0.67,0.06,0.37
79317,0.55,0.61,0.37
79420,0.49,-0.18,0.31
79522,0.61,0.73,0.43
79625,0.43,0.67,0.55
79728,0.18,0.00,0.43
79831,0.67,0.18,0.43
79933,0.24,0.06,0.31
80036,0.43,0.37,0.31
80138,-0.12,0.00,0.18
80241,0.98,0.49,0.61
80344,0.49,0.55,0.24
80447,1.53,1.22,0.55
80549,1.46,0.98,0.31
80652,34.06,27.71,-0.61
80754,-1.89,3.78,-1.22
80857,-11.54,-5.37,-3.42
80961,-71.04,-60.49,-14.10
81063,32.65,18.92,-7.57
81166,104.98,-31.62,29.36
81269,340.21,317.75,-33.69
81372,538.82,558.59,-544.74
81474,-68.66,-62.07,264.77
81577,-296.33,-385.31,593.75
81680,-568.48,-538.45,-162.35
81783,19.10,665.65,-293.33
81885,74.22,-992.07,167.05
81988,-87.40,1047.67,398.86
82090,-75.07,-491.33,-16.24
82193,58.84,363.34,228.94
82296,24.78,-95.89,-275.94
82399,71.59,48.71,152.89
82502,-85.75,307.07,255.80
82604,332.52,-683.41,-608.64
82707,-7.93,726.44,1057.43
82810,-184.02,-1005.92,-1659.48
82912,61.65,602.97,902.22
83015,-432.07,-262.02,-117.25
83118,193.60,239.50,-844.18
83221,-158.57,-66.41,1103.45
