timestamp,gyro_x,gyro_y,gyro_z
129975.0,0.61,0.24,0.37
130078.0,0.55,0.24,0.37
130181.0,0.55,0.18,0.37
130284.0,0.55,0.18,0.37
130386.0,0.49,0.18,0.37
130489.0,0.55,0.24,0.31
130592.0,0.55,0.18,0.43
130694.0,0.49,0.24,0.37
130797.0,0.55,0.24,0.37
130900.0,0.55,0.18,0.37
131002.0,0.55,0.18,0.37
131105.0,0.55,0.24,0.37
131208.0,0.55,0.24,0.37
131310.0,0.55,0.24,0.37
131412.0,0.61,0.24,0.37
131515.0,0.61,0.24,0.37
131618.0,0.55,0.18,0.37
131720.0,0.55,0.18,0.37
131823.0,0.55,0.24,0.37
131926.0,0.55,0.18,0.37
132028.0,0.55,0.18,0.37
132131.0,0.55,0.18,0.37
132235.0,0.61,0.24,0.37
132337.0,0.55,0.24,0.37
132440.0,0.55,0.24,0.31
132543.0,0.55,0.24,0.37
132645.0,0.55,0.24,0.37
132748.0,0.61,0.24,0.37
132850.0,0.55,0.24,0.37
132953.0,0.55,0.18,0.37
133056.0,0.55,0.18,0.37
133158.0,0.55,0.24,0.37
133261.0,0.55,0.24,0.37
133364.0,0.55,0.24,0.37
133466.0,0.61,0.24,0.37
133569.0,0.55,0.18,0.37
133671.0,0.55,0.18,0.37
133774.0,0.55,0.18,0.37
133876.0,0.55,0.18,0.37
133979.0,0.55,0.18,0.37
134082.0,0.55,0.24,0.37
134184.0,0.61,0.18,0.37
134287.0,0.55,0.24,0.37
134389.0,0.61,0.18,0.37
134492.0,0.61,0.24,0.37
134594.0,0.55,0.24,0.37
134697.0,0.55,0.18,0.37
134800.0,0.55,0.24,0.37
134902.0,0.55,0.18,0.37
135005.0,0.55,0.24,0.43
135107.0,0.55,0.24,0.37
135210.0,0.55,0.18,0.37
135312.0,0.55,0.18,0.37
135415.0,0.61,0.24,0.31
135518.0,0.55,0.18,0.37
135621.0,0.55,0.18,0.37
135724.0,0.61,0.24,0.37
135826.0,0.55,0.18,0.37
135929.0,0.55,0.24,0.37
136032.0,0.55,0.24,0.37
136134.0,0.55,0.24,0.37
136237.0,0.55,0.24,0.37
136341.0,0.61,0.18,0.37
136444.0,0.55,0.24,0.37
136547.0,0.55,0.18,0.37
136650.0,0.55,0.24,0.37
136754.0,0.55,0.18,0.37
136857.0,0.55,0.24,0.37
136960.0,0.55,0.18,0.43
137064.0,0.55,0.24,0.37
137167.0,0.49,0.18,0.31
137270.0,0.55,0.24,0.37
137374.0,0.55,0.18,0.37
137477.0,0.55,0.18,0.31
137580.0,0.55,0.18,0.37
137683.0,0.55,0.24,0.43
137785.0,0.55,0.18,0.37
137888.0,0.61,0.24,0.37
137990.0,0.49,0.24,0.37
138093.0,0.55,0.24,0.37
138195.0,0.55,0.24,0.37
138298.0,0.55,0.18,0.37
138400.0,0.55,0.18,0.37
138503.0,0.55,0.24,0.37
138605.0,0.55,0.18,0.37
138708.0,0.55,0.18,0.37
138811.0,0.49,0.18,0.37
138914.0,0.55,0.18,0.37
139016.0,0.55,0.24,0.37
139119.0,0.61,0.18,0.37
139222.0,0.55,0.24,0.37
139324.0,0.55,0.24,0.37
139427.0,0.55,0.24,0.31
139529.0,0.55,0.24,0.37
139632.0,0.55,0.24,0.37
139734.0,0.55,0.24,0.37
139838.0,0.61,0.24,0.37
139941.0,0.55,0.18,0.37
140044.0,0.55,0.24,0.37
140147.0,0.55,0.18,0.37
140251.0,0.61,0.24,0.37
140354.0,0.55,0.24,0.43
140457.0,0.55,0.18,0.37
140561.0,0.55,0.24,0.37
140664.0,0.49,0.18,0.43
140767.0,0.55,0.24,0.37
140869.0,0.55,0.24,0.37
140972.0,0.55,0.24,0.37
141075.0,0.55,0.24,0.37
141177.0,0.55,0.18,0.37
141280.0,0.55,0.24,0.37
141382.0,0.55,0.24,0.37
141485.0,0.61,0.24,0.31
141589.0,0.55,0.24,0.31
141691.0,0.55,0.24,0.37
141795.0,0.55,0.18,0.37
141898.0,0.43,0.12,0.37
142001.0,0.49,0.18,0.37
142104.0,0.55,0.18,0.43
142207.0,0.55,0.24,0.37
142310.0,0.49,0.18,0.37
142413.0,0.61,0.24,0.37
142516.0,0.55,0.24,0.37
142619.0,0.49,0.18,0.37
142722.0,0.49,0.18,0.37
142825.0,0.49,0.18,0.37
142927.0,0.61,0.24,0.37
143031.0,0.55,0.18,0.37
143133.0,0.55,0.18,0.37
143235.0,0.55,0.24,0.37
143338.0,0.55,0.18,0.37
143442.0,0.55,0.24,0.37
143545.0,0.55,0.24,0.37
143648.0,0.55,0.18,0.37
143751.0,0.49,0.18,0.37
143854.0,0.61,0.18,0.37
143956.0,0.55,0.24,0.37
144059.0,0.55,0.18,0.43
144161.0,0.61,0.24,0.37
144264.0,0.55,0.24,0.37
144367.0,0.55,0.12,0.43
144470.0,0.55,0.24,0.37
144572.0,0.55,0.24,0.37
144675.0,0.55,0.18,0.37
144777.0,0.55,0.18,0.37
144879.0,0.55,0.18,0.37
144982.0,0.55,0.24,0.37
145085.0,0.55,0.18,0.37
145187.0,0.55,0.18,0.31
145290.0,0.55,0.24,0.37
145392.0,0.61,0.18,0.37
145495.0,0.55,0.18,0.37
145597.0,0.55,0.24,0.37
145700.0,0.55,0.18,0.37
145802.0,0.55,0.24,0.37
145906.0,0.55,0.24,0.37
146009.0,0.61,0.24,0.37
146111.0,0.61,0.18,0.37
146214.0,0.55,0.24,0.37
146317.0,0.61,0.24,0.37
146419.0,0.55,0.24,0.37
146521.0,0.55,0.24,0.31
146624.0,0.61,0.24,0.37
146727.0,0.55,0.18,0.37
146830.0,0.55,0.24,0.37
146933.0,0.55,0.18,0.37
147036.0,0.55,0.24,0.37
147138.0,0.61,0.24,0.37
147241.0,0.55,0.18,0.37
147344.0,0.61,0.18,0.37
147447.0,0.55,0.24,0.37
147549.0,0.61,0.18,0.37
147652.0,0.55,0.24,0.37
147755.0,0.61,0.24,0.37
147857.0,0.55,0.18,0.43
147960.0,0.55,0.24,0.37
148063.0,0.55,0.18,0.37
148165.0,0.55,0.18,0.37
148268.0,0.55,0.24,0.37
148371.0,0.55,0.24,0.37
148473.0,0.61,0.24,0.37
148576.0,0.61,0.18,0.37
148678.0,0.55,0.24,0.37
148782.0,0.55,0.24,0.37
148885.0,0.61,0.24,0.37
148989.0,0.55,0.24,0.37
149092.0,0.61,0.24,0.43
149196.0,0.49,0.18,0.37
149299.0,0.55,0.24,0.37
149402.0,0.55,0.24,0.37
149505.0,0.61,0.24,0.37
149608.0,0.55,0.24,0.37
149711.0,0.55,0.24,0.37
149814.0,0.55,0.18,0.37
149917.0,0.55,0.18,0.37
150019.0,0.55,0.18,0.37
150122.0,0.55,0.24,0.37
150224.0,0.55,0.24,0.37
150327.0,0.55,0.18,0.43
150429.0,0.55,0.24,0.37
150532.0,0.55,0.24,0.31
