timestamp,accelX,accelY,accelZ
2025-02-17 12:10:20,0.09,-0.26,0.97
2025-02-17 12:10:20,0.08,-0.26,0.98
2025-02-17 12:10:20,0.1,-0.25,0.92
2025-02-17 12:10:20,0.08,-0.26,0.99
2025-02-17 12:10:20,0.09,-0.26,0.99
2025-02-17 12:10:20,0.08,-0.26,0.98
2025-02-17 12:10:20,0.08,-0.26,0.99
2025-02-17 12:10:20,0.09,-0.26,0.96
2025-02-17 12:10:21,0.07,-0.25,1.02
2025-02-17 12:10:21,0.09,-0.26,0.97
2025-02-17 12:10:21,0.08,-0.26,0.98
2025-02-17 12:10:21,0.09,-0.26,0.96
2025-02-17 12:10:21,0.08,-0.26,1.0
2025-02-17 12:10:21,0.09,-0.27,0.95
2025-02-17 12:10:21,0.09,-0.27,0.89
2025-02-17 12:10:21,0.09,-0.28,0.92
2025-02-17 12:10:21,0.08,-0.25,1.02
2025-02-17 12:10:21,0.09,-0.26,0.97
2025-02-17 12:10:22,0.08,-0.26,0.99
2025-02-17 12:10:22,0.08,-0.25,1.02
2025-02-17 12:10:22,0.09,-0.28,0.94
2025-02-17 12:10:22,0.09,-0.26,0.98
2025-02-17 12:10:22,0.08,-0.25,1.02
2025-02-17 12:10:22,0.09,-0.26,0.98
2025-02-17 12:10:22,0.09,-0.27,0.94
2025-02-17 12:10:22,0.09,-0.26,0.96
2025-02-17 12:10:22,0.08,-0.26,0.99
2025-02-17 12:10:22,0.09,-0.26,0.97
2025-02-17 12:10:23,0.09,-0.26,0.97
2025-02-17 12:10:23,0.09,-0.24,0.96
2025-02-17 12:10:23,0.09,-0.27,0.98
2025-02-17 12:10:23,0.09,-0.27,0.97
2025-02-17 12:10:23,0.08,-0.26,0.98
2025-02-17 12:10:23,0.09,-0.27,0.96
2025-02-17 12:10:23,0.09,-0.26,0.97
2025-02-17 12:10:23,0.09,-0.26,0.98
2025-02-17 12:10:23,0.09,-0.26,0.97
2025-02-17 12:10:23,0.09,-0.27,0.96
2025-02-17 12:10:24,0.08,-0.26,0.98
2025-02-17 12:10:24,0.09,-0.26,0.97
2025-02-17 12:10:24,0.09,-0.26,0.96
2025-02-17 12:10:24,0.09,-0.26,0.97
2025-02-17 12:10:24,0.09,-0.25,0.99
2025-02-17 12:10:24,0.09,-0.27,0.97
2025-02-17 12:10:24,0.09,-0.26,0.97
2025-02-17 12:10:24,0.09,-0.26,0.96
2025-02-17 12:10:24,0.09,-0.26,0.96
2025-02-17 12:10:25,0.09,-0.27,0.96
2025-02-17 12:10:25,0.08,-0.26,0.97
2025-02-17 12:10:25,0.09,-0.27,0.95
2025-02-17 12:10:25,0.07,-0.22,1.08
2025-02-17 12:10:25,0.1,-0.26,0.97
2025-02-17 12:10:25,0.09,-0.28,0.92
2025-02-17 12:10:25,0.09,-0.26,0.98
2025-02-17 12:10:25,0.08,-0.26,0.99
2025-02-17 12:10:25,0.09,-0.26,0.97
2025-02-17 12:10:25,0.09,-0.26,0.97
2025-02-17 12:10:26,0.09,-0.26,0.98
2025-02-17 12:10:26,0.09,-0.26,0.97
2025-02-17 12:10:26,0.09,-0.26,0.97
2025-02-17 12:10:26,0.09,-0.27,0.95
2025-02-17 12:10:26,0.09,-0.26,0.98
2025-02-17 12:10:26,0.09,-0.26,0.97
2025-02-17 12:10:26,0.1,-0.27,0.89
2025-02-17 12:10:26,0.07,-0.28,0.92
2025-02-17 12:10:26,0.09,-0.25,1.01
2025-02-17 12:10:26,0.08,-0.25,1.01
2025-02-17 12:10:27,0.1,-0.23,0.88
2025-02-17 12:10:27,0.1,-0.31,0.81
2025-02-17 12:10:27,0.08,-0.28,0.94
2025-02-17 12:10:27,0.1,-0.25,0.91
2025-02-17 12:10:27,0.09,-0.27,0.93
2025-02-17 12:10:27,0.08,-0.25,1.0
2025-02-17 12:10:27,0.09,-0.26,0.95
2025-02-17 12:10:27,0.1,-0.28,0.91
2025-02-17 12:10:27,0.1,-0.33,0.87
2025-02-17 12:10:27,0.07,-0.25,1.02
2025-02-17 12:10:28,0.09,-0.25,1.02
2025-02-17 12:10:28,0.1,-0.29,0.94
2025-02-17 12:10:28,0.08,-0.26,0.97
2025-02-17 12:10:28,0.09,-0.25,1.0
2025-02-17 12:10:28,0.06,-0.24,1.15
2025-02-17 12:10:28,0.11,-0.25,1.04
2025-02-17 12:10:28,0.09,-0.27,0.92
2025-02-17 12:10:28,0.09,-0.27,0.95
2025-02-17 12:10:28,0.08,-0.25,1.0
2025-02-17 12:10:29,0.09,-0.26,0.97
2025-02-17 12:10:29,0.09,-0.26,0.97
2025-02-17 12:10:29,0.09,-0.26,0.97
2025-02-17 12:10:29,0.09,-0.25,0.96
2025-02-17 12:10:29,0.09,-0.29,0.89
2025-02-17 12:10:29,0.08,-0.25,1.0
2025-02-17 12:10:29,0.09,-0.26,0.98
2025-02-17 12:10:29,0.09,-0.26,0.98
2025-02-17 12:10:29,0.09,-0.26,0.96
2025-02-17 12:10:29,0.09,-0.26,0.98
2025-02-17 12:10:30,0.09,-0.26,0.97
2025-02-17 12:10:30,0.09,-0.26,0.98
2025-02-17 12:10:30,0.09,-0.26,0.97
2025-02-17 12:10:30,0.09,-0.26,0.98
2025-02-17 12:10:30,0.09,-0.26,0.97
2025-02-17 12:10:30,0.09,-0.26,0.97
2025-02-17 12:10:30,0.09,-0.26,0.97
2025-02-17 12:10:30,0.09,-0.26,0.97
2025-02-17 12:10:30,0.09,-0.26,0.97
2025-02-17 12:10:30,0.09,-0.26,0.97
2025-02-17 12:10:31,0.09,-0.26,0.97
2025-02-17 12:10:31,0.09,-0.26,0.97
2025-02-17 12:10:31,0.09,-0.26,0.97
2025-02-17 12:10:31,0.09,-0.26,0.97
2025-02-17 12:10:31,0.09,-0.26,0.97
2025-02-17 12:10:31,0.09,-0.26,0.97
2025-02-17 12:10:31,0.09,-0.26,0.97
2025-02-17 12:10:31,0.09,-0.26,0.97
2025-02-17 12:10:31,0.09,-0.26,0.97
2025-02-17 12:10:32,0.09,-0.26,0.97
2025-02-17 12:10:32,0.09,-0.26,0.97
2025-02-17 12:10:32,0.09,-0.26,0.97
2025-02-17 12:10:32,0.09,-0.26,0.97
2025-02-17 12:10:32,0.09,-0.26,0.97
2025-02-17 12:10:32,0.09,-0.26,0.97
2025-02-17 12:10:32,0.09,-0.26,0.97
2025-02-17 12:10:32,0.09,-0.26,0.97
2025-02-17 12:10:32,0.09,-0.26,0.97
2025-02-17 12:10:32,0.09,-0.26,0.97
2025-02-17 12:10:33,0.09,-0.26,0.97
2025-02-17 12:10:33,0.09,-0.26,0.97
2025-02-17 12:10:33,0.09,-0.26,0.97
2025-02-17 12:10:33,0.09,-0.26,0.97
2025-02-17 12:10:33,0.09,-0.26,0.97
2025-02-17 12:10:33,0.09,-0.26,0.97
2025-02-17 12:10:33,0.09,-0.26,0.97
2025-02-17 12:10:33,0.09,-0.26,0.97
2025-02-17 12:10:33,0.09,-0.26,0.97
2025-02-17 12:10:33,0.09,-0.26,0.97
2025-02-17 12:10:34,0.09,-0.26,0.97
2025-02-17 12:10:34,0.09,-0.26,0.97
2025-02-17 12:10:34,0.09,-0.26,0.97
2025-02-17 12:10:34,0.09,-0.26,0.97
2025-02-17 12:10:34,0.09,-0.26,0.97
2025-02-17 12:10:34,0.09,-0.26,0.98
2025-02-17 12:10:34,0.09,-0.26,0.98
2025-02-17 12:10:34,0.09,-0.26,0.97
2025-02-17 12:10:34,0.09,-0.26,0.97
2025-02-17 12:10:34,0.09,-0.26,0.97
2025-02-17 12:10:35,0.09,-0.26,0.97
2025-02-17 12:10:35,0.09,-0.26,0.97
2025-02-17 12:10:35,0.09,-0.26,0.97
2025-02-17 12:10:35,0.09,-0.26,0.97
2025-02-17 12:10:35,0.09,-0.26,0.97
2025-02-17 12:10:35,0.09,-0.26,0.97
2025-02-17 12:10:35,0.09,-0.26,0.97
2025-02-17 12:10:35,0.09,-0.26,0.97
2025-02-17 12:10:35,0.09,-0.26,0.97
2025-02-17 12:10:36,0.09,-0.26,0.97
2025-02-17 12:10:36,0.09,-0.26,0.97
2025-02-17 12:10:36,0.09,-0.26,0.98
2025-02-17 12:10:36,0.09,-0.26,0.97
2025-02-17 12:10:36,0.09,-0.26,0.97
2025-02-17 12:10:36,0.09,-0.26,0.97
2025-02-17 12:10:36,0.09,-0.26,0.97
2025-02-17 12:10:36,0.09,-0.26,0.97
2025-02-17 12:10:36,0.09,-0.26,0.97
2025-02-17 12:10:36,0.09,-0.26,0.97
2025-02-17 12:10:37,0.09,-0.26,0.97
2025-02-17 12:10:37,0.09,-0.26,0.97
2025-02-17 12:10:37,0.09,-0.26,0.97
2025-02-17 12:10:37,0.09,-0.26,0.97
2025-02-17 12:10:37,0.09,-0.26,0.97
2025-02-17 12:10:37,0.09,-0.26,0.97
2025-02-17 12:10:37,0.09,-0.26,0.97
2025-02-17 12:10:37,0.09,-0.26,0.97
2025-02-17 12:10:37,0.09,-0.26,0.97
2025-02-17 12:10:37,0.09,-0.26,0.97
2025-02-17 12:10:38,0.09,-0.26,0.97
2025-02-17 12:10:38,0.09,-0.26,0.97
2025-02-17 12:10:38,0.09,-0.26,0.97
2025-02-17 12:10:38,0.09,-0.26,0.97
2025-02-17 12:10:38,0.09,-0.26,0.97
2025-02-17 12:10:38,0.09,-0.26,0.97
2025-02-17 12:10:38,0.09,-0.26,0.97
2025-02-17 12:10:38,0.09,-0.26,0.97
2025-02-17 12:10:39,0.09,-0.26,0.97
2025-02-17 12:10:39,0.09,-0.26,0.97
2025-02-17 12:10:39,0.09,-0.26,0.97
2025-02-17 12:10:39,0.09,-0.26,0.97
2025-02-17 12:10:39,0.09,-0.26,0.97
2025-02-17 12:10:39,0.09,-0.26,0.97
2025-02-17 12:10:39,0.09,-0.26,0.97
2025-02-17 12:10:39,0.09,-0.26,0.97
2025-02-17 12:10:39,0.09,-0.26,0.97
2025-02-17 12:10:39,0.09,-0.26,0.97
2025-02-17 12:10:40,0.09,-0.26,0.97
2025-02-17 12:10:40,0.09,-0.26,0.97
2025-02-17 12:10:40,0.09,-0.26,0.97
2025-02-17 12:10:40,0.09,-0.26,0.97
2025-02-17 12:10:40,0.09,-0.26,0.97
2025-02-17 12:10:40,0.09,-0.26,0.97
2025-02-17 12:10:40,0.09,-0.26,0.97
2025-02-17 12:10:40,0.09,-0.26,0.97
2025-02-17 12:10:40,0.09,-0.26,0.97
2025-02-17 12:10:40,0.09,-0.26,0.97
2025-02-17 12:10:41,0.09,-0.26,0.97
2025-02-17 12:10:41,0.09,-0.26,0.97
2025-02-17 12:10:41,0.09,-0.26,0.97
2025-02-17 12:10:41,0.09,-0.26,0.97
2025-02-17 12:10:41,0.09,-0.26,0.97
2025-02-17 12:10:41,0.09,-0.26,0.97
2025-02-17 12:10:41,0.09,-0.26,0.97
2025-02-17 12:10:41,0.09,-0.26,0.97
2025-02-17 12:10:41,0.09,-0.26,0.97
2025-02-17 12:10:42,0.09,-0.26,0.97
2025-02-17 12:10:42,0.09,-0.26,0.97
2025-02-17 12:10:42,0.09,-0.26,0.97
2025-02-17 12:10:42,0.09,-0.26,0.97
2025-02-17 12:10:42,0.09,-0.26,0.97
2025-02-17 12:10:42,0.09,-0.26,0.97
2025-02-17 12:10:42,0.09,-0.26,0.97
2025-02-17 12:10:42,0.09,-0.26,0.97
2025-02-17 12:10:42,0.09,-0.26,0.97
2025-02-17 12:10:42,0.09,-0.26,0.97
2025-02-17 12:10:43,0.09,-0.26,0.97
2025-02-17 12:10:43,0.09,-0.26,0.97
2025-02-17 12:10:43,0.09,-0.26,0.97
2025-02-17 12:10:43,0.09,-0.26,0.97
2025-02-17 12:10:43,0.09,-0.26,0.97
2025-02-17 12:10:43,0.09,-0.26,0.97
2025-02-17 12:10:43,0.09,-0.26,0.97
2025-02-17 12:10:43,0.09,-0.26,0.97
2025-02-17 12:10:43,0.09,-0.26,0.97
2025-02-17 12:10:43,0.09,-0.26,0.97
2025-02-17 12:10:44,0.09,-0.26,0.97
2025-02-17 12:10:44,0.09,-0.26,0.97
2025-02-17 12:10:44,0.09,-0.26,0.97
2025-02-17 12:10:44,0.09,-0.26,0.97
2025-02-17 12:10:44,0.09,-0.26,0.97
2025-02-17 12:10:44,0.09,-0.26,0.97
2025-02-17 12:10:44,0.09,-0.26,0.97
2025-02-17 12:10:44,0.09,-0.26,0.97
2025-02-17 12:10:44,0.09,-0.26,0.97
2025-02-17 12:10:45,0.09,-0.26,0.97
2025-02-17 12:10:45,0.09,-0.26,0.97
2025-02-17 12:10:45,0.09,-0.26,0.97
2025-02-17 12:10:45,0.09,-0.26,0.97
2025-02-17 12:10:45,0.09,-0.26,0.97
