Timestamp,X,Y,Z
2025-03-04 17:17:03,0.06,0.49,0.92
2025-03-04 17:17:04,0.43,0.24,0.49
2025-03-04 17:17:04,0.31,0.43,0.67
2025-03-04 17:17:05,0.73,0.31,0.31
2025-03-04 17:17:05,0.61,0.18,0.43
2025-03-04 17:17:05,0.55,0.06,0.43
2025-03-04 17:17:06,0.55,0.31,0.37
2025-03-04 17:17:06,0.37,0.24,0.55
2025-03-04 17:17:07,0.24,0.12,0.49
2025-03-04 17:17:07,0.85,0.12,0.0
2025-03-04 17:17:08,0.85,0.06,0.0
2025-03-04 17:17:08,0.67,-0.12,0.18
2025-03-04 17:17:08,-0.18,0.43,1.1
2025-03-04 17:17:09,0.61,0.12,0.31
2025-03-04 17:17:09,0.92,0.37,0.06
2025-03-04 17:17:10,1.04,0.12,-0.18
2025-03-04 17:17:10,0.24,0.31,0.55
2025-03-04 17:17:11,0.18,0.24,0.79
2025-03-04 17:17:11,0.73,0.12,0.31
2025-03-04 17:17:11,0.79,0.18,0.24
2025-03-04 17:17:12,0.37,0.31,0.61
2025-03-04 17:17:12,0.18,0.31,0.61
2025-03-04 17:17:12,0.49,0.18,0.55
2025-03-04 17:17:13,0.43,0.49,0.55
2025-03-04 17:17:13,0.43,0.18,0.61
2025-03-04 17:17:14,-0.06,0.73,1.04
2025-03-04 17:17:14,0.61,0.24,0.43
2025-03-04 17:17:14,0.43,0.61,0.37
2025-03-04 17:17:15,0.79,0.24,0.24
2025-03-04 17:17:15,0.55,0.37,0.43
2025-03-04 17:17:15,0.43,0.43,0.61
2025-03-04 17:17:16,0.61,0.31,0.37
2025-03-04 17:17:16,0.79,0.18,0.12
2025-03-04 17:17:17,0.73,0.18,0.31
2025-03-04 17:17:17,0.49,0.06,0.55
2025-03-04 17:17:17,0.43,0.12,0.49
2025-03-04 17:17:18,0.85,0.06,0.06
2025-03-04 17:17:18,0.73,0.18,0.24
2025-03-04 17:17:19,0.61,0.18,0.37
2025-03-04 17:25:41,-5.8,-1.1,1.71
2025-03-04 17:25:43,-10.93,-2.08,0.0
2025-03-04 17:25:43,-10.8,-2.32,0.92
2025-03-04 17:25:43,-5.0,-4.58,-3.23
2025-03-04 17:25:44,4.76,-3.91,0.0
2025-03-04 17:25:44,3.85,-9.22,-2.26
2025-03-04 17:25:44,41.81,-2.5,4.7
2025-03-04 17:25:45,7.87,-0.73,2.56
2025-03-04 17:25:45,10.44,1.89,2.87
2025-03-04 17:25:46,0.61,-3.85,2.26
2025-03-04 17:25:46,4.94,2.38,5.13
2025-03-04 17:25:47,-5.07,-3.23,1.22
2025-03-04 17:25:47,1.46,-5.68,2.2
2025-03-04 17:25:47,-0.31,0.18,0.12
2025-03-04 17:25:48,-1.59,-0.43,-1.83
2025-03-04 17:25:48,-1.77,0.79,-0.24
2025-03-04 17:25:49,0.06,1.34,-2.14
2025-03-04 17:25:49,-2.93,-2.44,1.22
2025-03-04 17:25:50,-0.73,-0.79,-1.1
2025-03-04 17:25:50,-0.67,0.0,2.75
2025-03-04 17:25:50,-1.16,0.18,1.28
2025-03-04 17:25:51,2.75,1.28,1.46
2025-03-04 17:25:51,2.69,-0.73,1.28
2025-03-04 17:25:52,0.55,-2.2,0.12
2025-03-04 17:25:52,0.18,-4.27,1.77
2025-03-04 17:25:52,0.12,3.97,0.55
2025-03-04 17:25:53,0.37,0.85,0.55
2025-03-04 17:25:53,1.28,-1.46,-0.92
2025-03-04 17:25:53,1.34,0.18,0.98
2025-03-04 17:25:54,-0.49,0.92,-2.26
2025-03-04 17:25:54,0.24,-0.98,1.46
2025-03-04 17:25:55,-0.49,-2.38,0.43
2025-03-04 17:25:55,0.85,2.69,0.55
2025-03-04 17:25:56,2.08,1.22,-1.16
2025-03-04 17:25:56,6.71,1.65,1.83
2025-03-04 17:25:56,12.39,3.54,3.97
2025-03-04 17:25:57,16.3,4.52,1.83
2025-03-04 17:25:57,3.36,0.85,2.01
2025-03-04 17:25:58,-1.65,-1.04,1.83
2025-03-04 17:25:58,0.24,0.55,-1.1
2025-03-04 17:25:59,-2.14,0.37,0.12
